Gene	Gene description	Evidence
BMP2	Bone morphogenetic protein 2	Evidence at protein level
BMP2K	BMP2 inducible kinase	Evidence at protein level
BMP4	Bone morphogenetic protein 4	Evidence at protein level
BMP6	Bone morphogenetic protein 6	Evidence at protein level
BMP7	Bone morphogenetic protein 7	Evidence at protein level
BMP8A	Bone morphogenetic protein 8a	Evidence at transcript level
BMP8B	Bone morphogenetic protein 8b	Evidence at protein level
BMPER	BMP binding endothelial regulator	Evidence at protein level
BMPR1A	Bone morphogenetic protein receptor type 1A	Evidence at protein level
BMPR1B	Bone morphogenetic protein receptor type 1B	Evidence at protein level
BNIPL	BCL2 interacting protein like	Evidence at protein level
BOC	"BOC cell adhesion associated, oncogene regulated"	Evidence at protein level
BOK	BCL2 family apoptosis regulator BOK	Evidence at protein level
BOLA1	BolA family member 1	Evidence at protein level
BOLA2	BolA family member 2	Evidence at protein level
BORA	BORA aurora kinase A activator	Evidence at protein level
BRAT1	BRCA1 associated ATM activator 1	Evidence at protein level
BRD2	Bromodomain containing 2	Evidence at protein level
BRINP1	BMP/retinoic acid inducible neural specific 1	Evidence at protein level
BRINP3	BMP/retinoic acid inducible neural specific 3	Evidence at protein level
BRME1	Break repair meiotic recombinase recruitment factor 1	Evidence at protein level
BRSK1	BR serine/threonine kinase 1	Evidence at protein level
BRSK2	BR serine/threonine kinase 2	Evidence at protein level
BRWD3	Bromodomain and WD repeat domain containing 3	Evidence at protein level
BSPRY	B-box and SPRY domain containing	Evidence at protein level
BTBD19	BTB domain containing 19	Evidence at protein level
BTBD7	BTB domain containing 7	Evidence at protein level
BTBD8	BTB domain containing 8	Evidence at protein level
BTK	Bruton tyrosine kinase	Evidence at protein level
BTNL9	Butyrophilin like 9	Evidence at protein level
BVES	Blood vessel epicardial substance	Evidence at protein level
C10orf95	Chromosome 10 open reading frame 95	Evidence at transcript level
C11orf52	Chromosome 11 open reading frame 52	Evidence at protein level
C12orf60	Chromosome 12 open reading frame 60	Evidence at protein level
C12orf76	Chromosome 12 open reading frame 76	Evidence at transcript level
C14orf132	Chromosome 14 open reading frame 132	Evidence at transcript level
C14orf180	Chromosome 14 open reading frame 180	Evidence at protein level
C15orf62	Chromosome 15 open reading frame 62	Evidence at protein level
C16orf74	Chromosome 16 open reading frame 74	Evidence at protein level
C16orf86	Chromosome 16 open reading frame 86	Evidence at protein level
C16orf89	Chromosome 16 open reading frame 89	Evidence at protein level
C16orf95	Chromosome 16 open reading frame 95	Evidence at protein level
C17orf100	Chromosome 17 open reading frame 100	Evidence at protein level
C17orf107	Chromosome 17 open reading frame 107	Evidence at protein level
C17orf113	Chromosome 17 open reading frame 113	Evidence at protein level
C17orf67	Chromosome 17 open reading frame 67	Evidence at protein level
C17orf97	Chromosome 17 open reading frame 97	Evidence at protein level
C18orf54	Chromosome 18 open reading frame 54	Evidence at protein level
C19orf18	Chromosome 19 open reading frame 18	Evidence at protein level
C19orf33	Chromosome 19 open reading frame 33	Evidence at protein level
C19orf38	Chromosome 19 open reading frame 38	Evidence at protein level
C19orf73	Chromosome 19 open reading frame 73	Evidence at protein level
C1GALT1C1L	C1GALT1 specific chaperone 1 like	Evidence at protein level
C1orf112	Chromosome 1 open reading frame 112	Evidence at protein level
C1orf115	Chromosome 1 open reading frame 115	Evidence at protein level
C1orf159	Chromosome 1 open reading frame 159	Evidence at protein level
C1orf21	Chromosome 1 open reading frame 21	Evidence at protein level
C1orf226	Chromosome 1 open reading frame 226	Evidence at protein level
C1orf50	Chromosome 1 open reading frame 50	Evidence at protein level
C1orf53	Chromosome 1 open reading frame 53	Evidence at protein level
C1orf56	Chromosome 1 open reading frame 56	Evidence at protein level
C1orf74	Chromosome 1 open reading frame 74	Evidence at protein level
C1QL1	Complement C1q like 1	Evidence at protein level
C1QTNF1	C1q and TNF related 1	Evidence at protein level
C1QTNF2	C1q and TNF related 2	Evidence at protein level
C1QTNF3	C1q and TNF related 3	Evidence at protein level
C1QTNF4	C1q and TNF related 4	Evidence at protein level
C1QTNF5	C1q and TNF related 5	Evidence at protein level
C1QTNF6	C1q and TNF related 6	Evidence at protein level
C1QTNF9B	C1q and TNF related 9B	Evidence at protein level
C2	Complement C2	Evidence at protein level
C21orf140	Chromosome 21 open reading frame 140	Evidence at transcript level
C21orf58	Chromosome 21 open reading frame 58	Evidence at protein level
C22orf23	Chromosome 22 open reading frame 23	Evidence at protein level
C2CD4B	C2 calcium dependent domain containing 4B	Evidence at protein level
C2CD4C	C2 calcium dependent domain containing 4C	Evidence at protein level
C2orf15	Chromosome 2 open reading frame 15	Evidence at protein level
C2orf81	Chromosome 2 open reading frame 81	Evidence at protein level
C2orf92	Chromosome 2 open reading frame 92	Evidence at transcript level
C3AR1	Complement C3a receptor 1	Evidence at protein level
C3orf18	Chromosome 3 open reading frame 18	Evidence at protein level
C3orf70	Chromosome 3 open reading frame 70	Evidence at protein level
C4A	Complement C4A (Rodgers blood group)	Evidence at protein level
C4B	Complement C4B (Chido blood group)	Evidence at protein level
C4orf19	Chromosome 4 open reading frame 19	Evidence at protein level
C4orf46	Chromosome 4 open reading frame 46	Evidence at protein level
C4orf47	Chromosome 4 open reading frame 47	Evidence at protein level
C4orf48	Chromosome 4 open reading frame 48	Evidence at protein level
C5	Complement C5	Evidence at protein level
C5AR2	Complement C5a receptor 2	Evidence at protein level
C5orf34	Chromosome 5 open reading frame 34	Evidence at protein level
C5orf49	Chromosome 5 open reading frame 49	Evidence at protein level
C5orf58	Chromosome 5 open reading frame 58	Evidence at protein level
C6orf136	Chromosome 6 open reading frame 136	Evidence at protein level
C6orf141	Chromosome 6 open reading frame 141	Evidence at protein level
C6orf47	Chromosome 6 open reading frame 47	Evidence at protein level
C6orf52	Chromosome 6 open reading frame 52	Evidence at transcript level
C7	Complement C7	Evidence at protein level
C7orf25	Chromosome 7 open reading frame 25	Evidence at protein level
C7orf31	Chromosome 7 open reading frame 31	Evidence at protein level
C8orf34	Chromosome 8 open reading frame 34	Evidence at protein level
C8orf48	Chromosome 8 open reading frame 48	Evidence at protein level
C8orf88	Chromosome 8 open reading frame 88	Evidence at protein level
C9orf24	Chromosome 9 open reading frame 24	Evidence at protein level
C9orf40	Chromosome 9 open reading frame 40	Evidence at protein level
CA1	Carbonic anhydrase 1	Evidence at protein level
CA12	Carbonic anhydrase 12	Evidence at protein level
CA13	Carbonic anhydrase 13	Evidence at protein level
CA14	Carbonic anhydrase 14	Evidence at protein level
CA2	Carbonic anhydrase 2	Evidence at protein level
CA3	Carbonic anhydrase 3	Evidence at protein level
CA4	Carbonic anhydrase 4	Evidence at protein level
CA8	Carbonic anhydrase 8	Evidence at protein level
CABCOCO1	Ciliary associated calcium binding coiled-coil 1	Evidence at protein level
CABP1	Calcium binding protein 1	Evidence at protein level
CABYR	Calcium binding tyrosine phosphorylation regulated	Evidence at protein level
CACHD1	Cache domain containing 1	Evidence at protein level
CACNA1C	Calcium voltage-gated channel subunit alpha1 C	Evidence at protein level
CACNA1D	Calcium voltage-gated channel subunit alpha1 D	Evidence at protein level
CACNA1H	Calcium voltage-gated channel subunit alpha1 H	Evidence at protein level
CACNA2D1	Calcium voltage-gated channel auxiliary subunit alpha2delta 1	Evidence at protein level
CACNA2D2	Calcium voltage-gated channel auxiliary subunit alpha2delta 2	Evidence at protein level
CACNA2D3	Calcium voltage-gated channel auxiliary subunit alpha2delta 3	Evidence at protein level
CACNB1	Calcium voltage-gated channel auxiliary subunit beta 1	Evidence at protein level
CACNB2	Calcium voltage-gated channel auxiliary subunit beta 2	Evidence at protein level
CACNB4	Calcium voltage-gated channel auxiliary subunit beta 4	Evidence at protein level
CADM1	Cell adhesion molecule 1	Evidence at protein level
CADM2	Cell adhesion molecule 2	Evidence at protein level
CADM3	Cell adhesion molecule 3	Evidence at protein level
CADM4	Cell adhesion molecule 4	Evidence at protein level
CADPS	Calcium dependent secretion activator	Evidence at protein level
CADPS2	Calcium dependent secretion activator 2	Evidence at protein level
CALB1	Calbindin 1	Evidence at protein level
CALB2	Calbindin 2	Evidence at protein level
CALCRL	Calcitonin receptor like receptor	Evidence at protein level
CALHM2	Calcium homeostasis modulator family member 2	Evidence at protein level
CALML4	Calmodulin like 4	Evidence at protein level
CALML5	Calmodulin like 5	Evidence at protein level
CAMK1D	Calcium/calmodulin dependent protein kinase ID	Evidence at protein level
CAMK1G	Calcium/calmodulin dependent protein kinase IG	Evidence at protein level
CAMK2A	Calcium/calmodulin dependent protein kinase II alpha	Evidence at protein level
CAMK2B	Calcium/calmodulin dependent protein kinase II beta	Evidence at protein level
CAMK2N1	Calcium/calmodulin dependent protein kinase II inhibitor 1	Evidence at protein level
CAMK4	Calcium/calmodulin dependent protein kinase IV	Evidence at protein level
CAMSAP2	Calmodulin regulated spectrin associated protein family member 2	Evidence at protein level
CAMSAP3	Calmodulin regulated spectrin associated protein family member 3	Evidence at protein level
CAND2	Cullin associated and neddylation dissociated 2 (putative)	Evidence at protein level
CAP2	Cyclase associated actin cytoskeleton regulatory protein 2	Evidence at protein level
CAPN13	Calpain 13	Evidence at protein level
CAPN15	Calpain 15	Evidence at protein level
CAPS2	Calcyphosine 2	Evidence at protein level
CAPSL	Calcyphosine like	Evidence at protein level
CARD10	Caspase recruitment domain family member 10	Evidence at protein level
CARD11	Caspase recruitment domain family member 11	Evidence at protein level
CARD14	Caspase recruitment domain family member 14	Evidence at protein level
CARD16	Caspase recruitment domain family member 16	Evidence at protein level
CARD19	Caspase recruitment domain family member 19	Evidence at protein level
CARD6	Caspase recruitment domain family member 6	Evidence at protein level
CARD9	Caspase recruitment domain family member 9	Evidence at protein level
CARMIL1	Capping protein regulator and myosin 1 linker 1	Evidence at protein level
CARMIL2	Capping protein regulator and myosin 1 linker 2	Evidence at protein level
CARNS1	Carnosine synthase 1	Evidence at protein level
CARTPT	CART prepropeptide	Evidence at protein level
CASKIN2	CASK interacting protein 2	Evidence at protein level
CASP1	Caspase 1	Evidence at protein level
CASQ1	Calsequestrin 1	Evidence at protein level
CASQ2	Calsequestrin 2	Evidence at protein level
CASS4	Cas scaffold protein family member 4	Evidence at protein level
CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	Evidence at protein level
CATIP	Ciliogenesis associated TTC17 interacting protein	Evidence at protein level
CATSPER2	Cation channel sperm associated 2	Evidence at protein level
CAV1	Caveolin 1	Evidence at protein level
CAV2	Caveolin 2	Evidence at protein level
CAVIN3	Caveolae associated protein 3	Evidence at protein level
CBFA2T3	CBFA2/RUNX1 partner transcriptional co-repressor 3	Evidence at protein level
CBLN1	Cerebellin 1 precursor	Evidence at protein level
CBLN3	Cerebellin 3 precursor	Evidence at protein level
CBR3	Carbonyl reductase 3	Evidence at protein level
CBS	Cystathionine beta-synthase	Evidence at protein level
CBX8	Chromobox 8	Evidence at protein level
CC2D2B	Coiled-coil and C2 domain containing 2B	Evidence at protein level
CCBE1	Collagen and calcium binding EGF domains 1	Evidence at protein level
CCDC102A	Coiled-coil domain containing 102A	Evidence at protein level
CCDC102B	Coiled-coil domain containing 102B	Evidence at protein level
CCDC103	Coiled-coil domain containing 103	Evidence at protein level
CCDC110	Coiled-coil domain containing 110	Evidence at protein level
CCDC113	Coiled-coil domain containing 113	Evidence at protein level
CCDC120	Coiled-coil domain containing 120	Evidence at protein level
CCDC122	Coiled-coil domain containing 122	Evidence at protein level
CCDC136	Coiled-coil domain containing 136	Evidence at protein level
CCDC138	Coiled-coil domain containing 138	Evidence at protein level
CCDC144A	Coiled-coil domain containing 144A	Evidence at protein level
CCDC152	Coiled-coil domain containing 152	Evidence at protein level
CCDC153	Coiled-coil domain containing 153	Evidence at protein level
CCDC154	Coiled-coil domain containing 154	Evidence at protein level
CCDC157	Coiled-coil domain containing 157	Evidence at protein level
CCDC160	Coiled-coil domain containing 160	Evidence at protein level
CCDC170	Coiled-coil domain containing 170	Evidence at protein level
CCDC171	Coiled-coil domain containing 171	Evidence at protein level
CCDC180	Coiled-coil domain containing 180	Evidence at transcript level
CCDC181	Coiled-coil domain containing 181	Evidence at protein level
CCDC184	Coiled-coil domain containing 184	Evidence at protein level
CCDC191	Coiled-coil domain containing 191	Evidence at protein level
CCDC24	Coiled-coil domain containing 24	Evidence at protein level
CCDC3	Coiled-coil domain containing 3	Evidence at protein level
CCDC30	Coiled-coil domain containing 30	Evidence at protein level
CCDC39	Coiled-coil domain containing 39	Evidence at protein level
CCDC40	Coiled-coil domain containing 40	Evidence at protein level
CCDC57	Coiled-coil domain containing 57	Evidence at protein level
CCDC60	Coiled-coil domain containing 60	Evidence at protein level
CCDC65	Coiled-coil domain containing 65	Evidence at protein level
CCDC68	Coiled-coil domain containing 68	Evidence at protein level
CCDC71L	Coiled-coil domain containing 71 like	Evidence at protein level
CCDC74A	Coiled-coil domain containing 74A	Evidence at protein level
CCDC74B	Coiled-coil domain containing 74B	Evidence at protein level
CCDC8	Coiled-coil domain containing 8	Evidence at protein level
CCDC85A	Coiled-coil domain containing 85A	Evidence at protein level
CCDC88B	Coiled-coil domain containing 88B	Evidence at protein level
CCDC88C	Coiled-coil domain containing 88C	Evidence at protein level
CCDC89	Coiled-coil domain containing 89	Evidence at protein level
CCDC96	Coiled-coil domain containing 96	Evidence at protein level
CCER2	Coiled-coil glutamate rich protein 2	Evidence at protein level
CCHCR1	Coiled-coil alpha-helical rod protein 1	Evidence at protein level
CCL14	C-C motif chemokine ligand 14	Evidence at protein level
CCL19	C-C motif chemokine ligand 19	Evidence at protein level
CCL20	C-C motif chemokine ligand 20	Evidence at protein level
CCL28	C-C motif chemokine ligand 28	Evidence at protein level
